ID	Description	Length	GC
CP011188.1	Bordetella  pertussis  strain  H707  complete  genome	4107280	67.706170507
CP010350.1	Acinetobacter  johnsonii  XBB1  complete  genome	3509795	41.4308243074
CP010352.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-1  complete  sequence	3978	35.0678733032
CP010353.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-2  complete  sequence	4724	36.8755292125
CP010354.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-3  complete  sequence	11643	33.7627759169
CP010355.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-4  complete  sequence	7579	38.8837577517
CP010356.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-5  complete  sequence	13940	36.9081779053
CP010357.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-6  complete  sequence	13330	36.384096024
CP010358.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-8  complete  sequence	117483	37.0496156891
CP010351.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-9  complete  sequence	398857	39.9915257849
AM406670.1	Azoarcus  sp.  BH72  complete  genome	4376040	67.9164495754
CP002394.1	Bacillus  cellulosilyticus  DSM  2522  complete  genome	4681672	36.5219519864
CP017175.1	Burkholderia  mallei  strain  Bahrain1  chromosome  1  complete  sequence	3553991	68.1890303042
CP017176.1	Burkholderia  mallei  strain  Bahrain1  chromosome  2  complete  sequence	2226175	69.0321740205
CP009709.1	Bacillus  coagulans  DSM  1  =  ATCC  7050  complete  genome	3366995	46.8972481397
CP010897.2	Pandoraea  vervacti  strain  NS15  complete  genome	5636000	63.5537437899
CP010898.2	Pandoraea  vervacti  strain  NS15  plasmid  pPV15  complete  sequence	100282	61.8834885623
CP008853.1	Bacillus  anthracis  strain  Cvac02  complete  genome	5227170	35.3706881544
CP013676.1	Xanthomonas  oryzae  pv.  oryzae  strain  PXO282  complete  genome	4961996	63.6888058757
CP014924.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  complete  genome	3437918	47.1787285212
CP014925.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-1  complete  sequence	38125	41.1619672131
CP014926.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-2  complete  sequence	45296	42.2509713882
CP014927.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-3  complete  sequence	41255	41.2507574839
CP014928.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-4  complete  sequence	45452	36.7948605122
CP014929.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-5  complete  sequence	35470	41.6577389343
CP014930.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-6  complete  sequence	28402	41.5956622773
CP014931.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-7  complete  sequence	19529	34.6510317989
CP014932.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-8  complete  sequence	57063	41.7573559049
CP011442.1	Bordetella  pertussis  strain  B3405  complete  genome	4109988	67.7002463268
CP001074.1	Rhizobium  etli  CIAT  652  complete  genome	4513324	61.6651939901
CP001075.1	Rhizobium  etli  CIAT  652  plasmid  pA  complete  sequence	414090	62.2202902751
CP001076.1	Rhizobium  etli  CIAT  652  plasmid  pB  complete  sequence	429111	57.7594142308
CP001077.1	Rhizobium  etli  CIAT  652  plasmid  pC  complete  sequence	1091523	60.8907920401
CP013106.1	Halomonas  huangheensis  strain  BJGMM-B45  complete  genome	4757486	58.5292316152
CP017150.1	Brevibacterium  linens  strain  SMQ-1335  complete  genome	4209935	62.63277224
CP007496.1	Candidatus  Saccharibacteria  oral  taxon  TM7x  complete  genome	705138	44.4532843217
CP016530.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  complete  genome	4751449	52.1918471607
CP016531.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_37  complete  sequence	37697	41.1783431042
CP016532.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_4  complete  sequence	4245	53.2626619552
CP016533.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_92  complete  sequence	91980	50.1902587519
BX072543.1	Tropheryma  whipplei  TW08/27  complete  genome	925938	46.3140080653
AM408590.1	Mycobacterium  bovis  BCG  Pasteur  1173P2  complete  genome	4374522	65.6360397776
CP001900.1	Campylobacter  jejuni  subsp.  jejuni  M1  complete  genome	1616648	30.6010337439
CP013182.1	Staphylococcus  aureus  strain  SA40TW  complete  genome	2771849	32.8999523423
AE017223.1	Brucella  abortus  biovar  1  str.  9-941  chromosome  I  complete  sequence	2124241	57.1557558676
AE017224.1	Brucella  abortus  biovar  1  str.  9-941  chromosome  II  complete  sequence	1162204	57.3355452227
CP017279.1	Enterobacter  ludwigii  strain  EN-119  complete  genome	4857439	54.5959712515
CP017280.1	Enterobacter  ludwigii  strain  EN-119  plasmid  pEN-119  complete  sequence	95331	54.7723196022
CP016442.1	Burkholderia  stabilis  strain  ATCC  BAA-67  chromosome  1  complete  sequence	3886092	66.3484806845
CP016443.1	Burkholderia  stabilis  strain  ATCC  BAA-67  chromosome  2  complete  sequence	3318880	66.882412139
CP016444.1	Burkholderia  stabilis  strain  ATCC  BAA-67  chromosome  3  complete  sequence	1322975	65.4852888377
CP017480.1	Luteibacter  rhizovicinus  DSM  16549  strain  LJ96T  complete  genome	4765486	64.7218143123
CP009451.1	Cedecea  neteri  strain  SSMD04  complete  genome	4876443	55.1027459974
CP000611.1	Mycobacterium  tuberculosis  H37Ra  complete  genome	4419977	65.6125133683
AE017308.1	Mycoplasma  mobile  163K  complete  genome	777079	24.9512597818
CP002431.1	Desulfovibrio  aespoeensis  Aspo-2  complete  genome	3629109	62.5619676896
CP007686.1	Listeria  monocytogenes  strain  L2624  complete  genome	2932501	38.0430901814
CP003560.1	Flammeovirga  sp.  MY04  chromosome  1  complete  sequence	5056210	34.5579791979
CP003561.1	Flammeovirga  sp.  MY04  chromosome  2  complete  sequence	2188491	34.6118855412
CP003562.1	Flammeovirga  sp.  MY04  plasmid  complete  sequence	82913	31.1555485871
CP017862.1	Campylobacter  jejuni  strain  FJ3124  complete  genome	1694324	30.5807507891
CP019028.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_1  complete  sequence	147346	51.0947022654
CP019027.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_2  complete  sequence	109344	46.0793459175
CP019025.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_4  complete  sequence	6647	48.5030840981
CP019024.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_5  complete  sequence	4063	51.4890475018
CP019023.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_6  complete  sequence	3256	47.2665847666
CP019022.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_7  complete  sequence	3087	48.5584710075
CP019021.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_8  complete  sequence	1459	50.9252912954
CP019026.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_KPC  complete  sequence	59373	52.1129132771
CP011323.1	Escherichia  coli  strain  SQ171  complete  genome	4599702	50.7752893557
CP009596.1	Bacillus  cereus  strain  3a  complete  genome	5270991	35.4481728388
CP009593.1	Bacillus  cereus  strain  3a  plasmid  pBFC_1  complete  sequence	7300	35.7123287671
CP009594.1	Bacillus  cereus  strain  3a  plasmid  pBFC_2  complete  sequence	51531	36.5779821855
CP009595.1	Bacillus  cereus  strain  3a  plasmid  pBFC_3  complete  sequence	312478	32.7005421182
CP019679.1	Brucella  melitensis  strain  C-573  chromosome  I  complete  sequence	2125194	57.1531351961
CP019680.1	Brucella  melitensis  strain  C-573  chromosome  II  complete  sequence	1185595	57.3408288665
CP007670.1	Staphylococcus  aureus  strain  M121  complete  genome	2896143	32.8625347574
CP007671.1	Staphylococcus  aureus  strain  M121  plasmid  pM121  complete  sequence	20409	28.0905482875
CP012649.1	Trueperella  pyogenes  strain  2012CQ-ZSH  complete  genome	2295822	59.6693471881
CP010249.1	Bordetella  pertussis  strain  H564  complete  genome	4109554	67.7035756192
CP018237.1	Escherichia  coli  strain  155  complete  genome	5513008	50.5473962672
CP018238.1	Escherichia  coli  strain  155  plasmid  pO157  complete  sequence	91420	47.731349814
CP017748.1	Cupriavidus  sp.  USMAA2-4  chromosome  1  complete  sequence	4493942	67.7300018558
CP017749.1	Cupriavidus  sp.  USMAA2-4  chromosome  2  complete  sequence	3659407	69.0215381891
CP017750.1	Cupriavidus  sp.  USMAA2-4  plasmid  unnamed1  complete  sequence	544877	63.035877822
CP004003.1	Burkholderia  pseudomallei  NAU20B-16  chromosome  1  complete  sequence	4067895	67.8186138039
CP004004.1	Burkholderia  pseudomallei  NAU20B-16  chromosome  2  complete  sequence	3245956	68.3367858344
CP007201.1	Sulfurospirillum  multivorans  DSM  12446  complete  genome	3175729	40.8982630445
CP003338.1	Rickettsia  australis  str.  Cutlack  complete  genome	1296670	32.2546214534
CP003339.1	Rickettsia  australis  str.  Cutlack  Plasmid01  complete  sequence	26610	33.7279218339
CP015641.1	Pseudomonas  stutzeri  strain  273  complete  genome	5030940	60.284320624
CP014681.1	Kozakia  baliensis  strain  NBRC  16680  complete  genome	2807246	57.5182224857
CP014682.1	Kozakia  baliensis  strain  NBRC  16680  plasmid  pKB16680_1  complete  sequence	135727	60.1427866231
CP014683.1	Kozakia  baliensis  strain  NBRC  16680  plasmid  pKB16680_2  complete  sequence	88099	59.4240570268
CP014684.1	Kozakia  baliensis  strain  NBRC  16680  plasmid  pKB16680_3  complete  sequence	36022	57.1900505247
CP003806.1	Candidatus  Kinetoplastibacterium  galatii  TCC219  complete  genome	822140	32.3586007249
CP003393.1	Rickettsia  prowazekii  str.  BuV67-CWPP  complete  genome	1111445	29.0002654202
CP018382.1	Burkholderia  pseudomallei  strain  2008724758  chromosome  1  complete  sequence	3248554	68.1679910508
CP018383.1	Burkholderia  pseudomallei  strain  2008724758  chromosome  2  complete  sequence	4135235	67.732523061
AE016853.1	Pseudomonas  syringae  pv.  tomato  str.  DC3000  complete  genome	6397126	58.3988809975
AE016855.1	Pseudomonas  syringae  pv.  tomato  str.  DC3000  plasmid  pDC3000A  complete  sequence	73661	55.1458709493
AE016854.1	Pseudomonas  syringae  pv.  tomato  str.  DC3000  plasmid  pDC3000B  complete  sequence	67473	56.1661701718
CP013904.1	Bordetella  pertussis  strain  J208  complete  genome	4108471	67.7046034887
CP003885.1	Legionella  pneumophila  subsp.  pneumophila  LPE509  complete  genome	3434224	38.3333178034
CP003886.1	Legionella  pneumophila  subsp.  pneumophila  LPE509  plasmid  complete  sequence	73490	40.3401823377
CP006863.1	Bacillus  toyonensis  BCT-7112  complete  genome	4940474	35.6033449422
CP006864.1	Bacillus  toyonensis  BCT-7112  plasmid  pBCT77  complete  sequence	76974	32.9318990828
CP006865.1	Bacillus  toyonensis  BCT-7112  plasmid  pBCT8  complete  sequence	7971	31.4013298206
AE014295.3	Bifidobacterium  longum  NCC2705  complete  genome	2256640	60.1198241634
AF540971.1	Bifidobacterium  longum  NCC2705  plasmid  pBLO1  complete  sequence	3626	64.8097076669
CP002122.1	Prevotella  melaninogenica  ATCC  25845  chromosome  I  complete  sequence	1796408	40.9201027829
CP002123.1	Prevotella  melaninogenica  ATCC  25845  chromosome  II  complete  sequence	1371874	41.0660891598
CP010796.1	Carnobacterium  sp.  CP1  complete  genome	2605518	38.1288480832
CP010819.1	Carnobacterium  sp.  CP1  plasmid  pCP1  complete  sequence	8883	31.6334571654
CP002157.1	Maribacter  sp.  HTCC2170  complete  genome	3868304	36.9774454128
CP016622.1	Parageobacillus  thermoglucosidans  strain  NCIMB  11955  complete  genome	3873105	43.8913997942
CP016623.1	Geobacillus  thermoglucosidasius  strain  NCIMB  11955  plasmid  pNCI001  complete  sequence	83925	43.6222817992
CP016624.1	Geobacillus  thermoglucosidasius  strain  NCIMB  11955  plasmid  pNCI002  complete  sequence	47893	39.0140521579
CP011206.1	Bordetella  pertussis  strain  I915  complete  genome	4106386	67.7067133971
CP019979.1	Streptococcus  agalactiae  strain  Sag158  complete  genome	2096882	35.6667184896
CP001996.1	Staphylococcus  aureus  subsp.  aureus  ED133  complete  genome	2832478	32.9162662517
CP005493.3	Helicobacter  pylori  UM066  complete  genome	1658047	38.616637526
CP007161.1	Virgibacillus  sp.  SK37  complete  genome	3821074	37.6303363923
CP007162.1	Virgibacillus  sp.  SK37  plasmid  pSK37042  complete  sequence	12068	38.1670533643
CP007163.1	Virgibacillus  sp.  SK37  plasmid  pSK37064  complete  sequence	4094	34.1963849536
CP007164.1	Virgibacillus  sp.  SK37  plasmid  pSK37387  complete  sequence	4494	30.8856252781
CP018840.1	Escherichia  coli  isolate  64  complete  genome	4759716	50.6449544469
CP001127.1	Salmonella  enterica  subsp.  enterica  serovar  Schwarzengrund  str.  CVM19633  complete  genome	4709075	52.1741318624
CP001125.1	Salmonella  enterica  subsp.  enterica  serovar  Schwarzengrund  str.  CVM19633  plasmid  pCVM19633_110  complete  sequence	110227	53.9840510946
CP001126.1	Salmonella  enterica  subsp.  enterica  serovar  Schwarzengrund  str.  CVM19633  plasmid  pCVM19633_4  complete  sequence	4585	47.4809160305
CP014495.1	Escherichia  coli  strain  SaT040  complete  geome	5061821	50.6428615315
CP014496.1	Escherichia  coli  strain  SaT040  plasmid  pSaT040  complete  sequence	114223	51.0203724294
CP002528.1	Krokinobacter  sp.  4H-3-7-5  complete  genome	3389993	37.2891330454
CP016635.1	Francisella  tularensis  subsp.  novicida  PA10-7858  complete  genome	1978958	32.3639005982
CP000238.1	Baumannia  cicadellinicola  str.  Hc  (Homalodisca  coagulata)  complete  genome	686194	33.2349160733
CP010967.1	Thermotoga  maritima  strain  Tma200  complete  genome	1859582	46.2720116671
CP014252.1	Listeria  monocytogenes  strain  CFSAN023459  complete  genome	3039887	38.0789154334
CP014253.1	Listeria  monocytogenes  strain  CFSAN023459  plasmid  CFSAN023459_01  complete  sequence	12949	36.3580199243
CP014254.1	Listeria  monocytogenes  strain  CFSAN023459  plasmid  CFSAN023459_02  complete  sequence	52687	35.0503919373
CP014761.1	Leifsonia  xyli  strain  SE134  complete  genome	3596761	70.2199562328
CP002273.2	Eubacterium  limosum  KIST612  complete  genome	4316707	47.4975021469
CP011805.1	Altererythrobacter  marensis  strain  KCTC  22370  complete  genome	2885033	64.6540611494
CP021434.1	Tumebacillus  sp.  AR23208  complete  genome	5249768	56.0108751472
CP012352.1	Propionibacterium  acnes  strain  PA_15_2_L1  complete  genome	2540008	60.1189445073
CP014991.1	Helicobacter  himalayensis  strain  YS1  complete  genome	1829936	39.8863676107
CP016654.1	Neisseria  meningitidis  strain  M22811  complete  genome	2185698	51.6197114148
CP011372.1	Campylobacter  lari  strain  Slaughter  Beach  complete  genome	1563032	29.844046699
CP011510.1	Mycobacterium  tuberculosis  strain  Beijing  complete  genome	4378588	65.613115461
CP013727.1	Bacillus  amyloliquefaciens  strain  MBE1283  complete  genome	3966922	46.5336601022
CP013728.1	Bacillus  amyloliquefaciens  strain  MBE1283  plasmid  Unnamed  1  complete  sequence	13003	42.5594093671
CP009435.1	Burkholderia  glumae  LMG  2196  =  ATCC  33617  chromosome  I  complete  sequence	3659771	68.2430676673
CP009434.1	Burkholderia  glumae  LMG  2196  =  ATCC  33617  chromosome  II  complete  sequence	2820414	68.772208619
CP009433.1	Burkholderia  glumae  LMG  2196  =  ATCC  33617  plasmid  pBIN_1  complete  sequence	196020	63.789409244
CP009432.1	Burkholderia  glumae  LMG  2196  =  ATCC  33617  plasmid  pBIN_2  complete  sequence	144522	61.1768450478
CP002054.1	Chlamydia  trachomatis  D-LC  complete  genome	1042520	41.307504892
CP002055.1	Chlamydia  trachomatis  D-LC  plasmid  pCTDLC1  complete  sequence	7493	36.3272387562
CP014795.1	Bacillus  licheniformis  strain  SCK  B11  complete  genome	4300706	45.9343419429
CP012375.1	Microcystis  aeruginosa  NIES-2481  complete  genome	4293006	42.9110744313
AP012600.1	Helicobacter  pylori  OK113  DNA  complete  genome	1616617	38.7300764498
CP003060.1	Glaciecola  nitratireducens  FR1064  complete  genome	4134229	42.2986244835
HE965805.1	Bordetella  pertussis  18323  complete  genome	4043846	67.6861829061
CP013080.1	Bordetella  pertussis  strain  E194  complete  genome	4103209	67.7095414833
CP013062.1	Peregrinibacteria  bacterium  RIFOXYA2_FULL_PER-ii_58_14  complete  genome	1248026	58.4785092618
CP006580.1	Enterobacter  cloacae  P101  complete  genome	5369929	54.3801230892
CP001853.1	Bifidobacterium  animalis  subsp.  lactis  BB-12  complete  genome	1942198	60.481320648
CP000697.1	Acidiphilium  cryptum  JF-5  complete  genome	3389227	67.9927310859
CP000689.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY01  complete  sequence	203589	62.3334266586
CP000690.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY02  complete  sequence	187422	61.9196252308
CP000691.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY03  complete  sequence	88953	62.1283149528
CP000692.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY04  complete  sequence	37415	59.6204730723
CP000693.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY05  complete  sequence	37155	60.8531826134
CP000694.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY06  complete  sequence	8781	60.9953308279
CP000695.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY07  complete  sequence	5629	57.5057736721
CP000696.1	Acidiphilium  cryptum  JF-5  plasmid  pACRY08  complete  sequence	4909	58.6881238541
CP011208.1	Bordetella  pertussis  strain  J018  complete  genome	4103225	67.7094967983
CP007676.1	Staphylococcus  aureus  strain  HUV05  complete  genome	2842022	32.8030887868
CP007677.1	Staphylococcus  aureus  strain  HUV05  plasmid  pHUV05-01  complete  sequence	20185	28.5459499628
CP007678.1	Staphylococcus  aureus  strain  HUV05  plasmid  pHUV05-02  complete  sequence	20291	28.5052486324
CP007679.1	Staphylococcus  aureus  strain  HUV05  plasmid  pHUV05-03  complete  sequence	33093	30.6258121053
CP007810.1	Xanthomonas  oryzae  pv.  oryzicola  strain  YM15  complete  genome	4430829	64.0530474094
CP002771.1	Marinomonas  posidonica  IVIA-Po-181  complete  genome	3899940	44.2851428484
CP003901.1	Streptococcus  pyogenes  A20  complete  genome	1837281	38.53558601
CP011709.1	Bordetella  pertussis  strain  H864  complete  genome	4106500	67.705442591
CP002444.1	Thermovibrio  ammonificans  HB-1  complete  genome	1682965	52.114868699
CP002445.1	Thermovibrio  ammonificans  HB-1  plasmid  pTHEAM01  complete  sequence	76561	52.457517535
CP011479.1	Hoeflea  sp.  IMCC20628  complete  genome	4842322	58.9488679192
CP011480.1	Hoeflea  sp.  IMCC20628  plasmid  complete  sequence	154071	57.2541230991
CP011481.1	Hoeflea  sp.  IMCC20628  plasmid  complete  sequence	123420	56.3879436072
CP016826.1	Corynebacterium  pseudotuberculosis  strain  MEX29  complete  genome	2337866	52.1825031888
CP003785.1	Klebsiella  pneumoniae  subsp.  pneumoniae  1084  complete  genome	5386705	57.4139478587
FN597644.1	Bacillus  amyloliquefaciens  DSM7  complete  genome	3980199	46.082344124
CP006979.1	Pseudomonas  monteilii  SB3101  complete  genome	5945120	62.4933054337
CP016537.2	Planococcus  halocryophilus  strain  DSM  24743  complete  genome	3424893	40.0511198452
CP003492.1	Bacillus  sp.  JS  complete  genome	4120406	43.9267635277
FN555004.1	Helicobacter  mustelae  12198  complete  genome	1578097	42.4653237412
CP010556.1	Bacillus  amyloliquefaciens  strain  L-H15  complete  genome	3905973	46.6586942613
AP012978.1	Endosymbiont  of  unidentified  scaly  snail  isolate  Monju  DNA  complete  genome	2597759	65.0571126883
CP012833.1	Salmonella  enterica  subsp.  enterica  serovar  Cerro  str.  CFSAN001588  complete  genome	4651400	52.2857419272
CP012834.1	Salmonella  enterica  subsp.  enterica  serovar  Cerro  str.  CFSAN001588  plasmid  pCFSAN001588_001  complete  sequence	53952	44.7638641756
CP012835.1	Salmonella  enterica  subsp.  enterica  serovar  Cerro  str.  CFSAN001588  plasmid  pCFSAN001588_002  complete  sequence	62884	48.7659818078
CP020451.1	Streptococcus  salivarius  strain  FDAARGOS_259  complete  genome	2259227	40.1359845646
CP015839.1	Marinobacterium  sp.  ST58-10  complete  genome	5191608	58.7915728614
CP008858.2	Pseudomonas  aeruginosa  strain  F63912  complete  genome	6618768	66.2508188835
CP000781.1	Xanthobacter  autotrophicus  Py2  complete  genome	5308934	67.4646925353
CP000782.1	Xanthobacter  autotrophicus  Py2  plasmid  pXAUT01  complete  sequence	316164	65.3372933035
CP000142.2	Pelobacter  carbinolicus  DSM  2380  complete  genome	3665893	55.1137471825
CP009476.1	Bacillus  anthracis  strain  Pasteur  complete  genome	5200082	35.3953841497
CP009475.1	Bacillus  anthracis  strain  Pasteur  plasmid  pXO2  complete  sequence	94721	33.0475818456
CP002002.1	Listeria  monocytogenes  10403S  complete  genome	2903106	38.0319561187
CP012582.1	Pseudomonas  aeruginosa  strain  PA_D21  complete  genome	6639108	66.2141661199
CP007156.1	Corynebacterium  falsenii  DSM  44353  strain  BL  8171  complete  genome	2677607	63.1771951597
CP007157.1	Corynebacterium  falsenii  DSM  44353  strain  BL  8171  plasmid  phiCFAL8171I  complete  sequence	42009	61.7439120189
AP012035.1	Acidiphilium  multivorum  AIU301  DNA  complete  genome	3749411	67.5791744357
AP012036.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV1  DNA  complete  sequence	271573	62.939982988
AP012037.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV2  DNA  complete  sequence	65564	61.9211762553
AP012038.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV3  DNA  complete  sequence	54248	61.2077864622
AP012039.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV4  DNA  complete  sequence	40588	60.0473046221
AP012040.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV5  DNA  complete  sequence	14328	58.9475153546
AP012041.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV6  DNA  complete  sequence	12125	59.5793814433
AP012042.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV7  DNA  complete  sequence	5178	57.5898030127
AP012043.1	Acidiphilium  multivorum  AIU301  plasmid  pACMV8  DNA  complete  sequence	1729	60.9022556391
CP015199.1	Chryseobacterium  sp.  IHB  B  10212  strain  IHBB  10212  complete  genome	4843645	34.0445470302
CP015200.1	Chryseobacterium  sp.  IHB  B  10212  strain  IHBB  10212  plasmid  pMP01  complete  sequence	16553	40.542499849
CP015201.1	Chryseobacterium  sp.  IHB  B  10212  strain  IHBB  10212  plasmid  pMP02  complete  sequence	11450	40.3755458515
CP001047.1	Mycoplasma  arthritidis  158L3-1  complete  genome	820453	30.7094982894
CP000813.4	Bacillus  pumilus  SAFR-032  complete  genome	3704641	41.2876173427
CP003499.1	Streptococcus  thermophilus  MN-ZLW-002  complete  genome	1848520	39.0570294073
CP002175.1	Halanaerobium  praevalens  DSM  2228  complete  genome	2309262	30.2936176146
CP002508.1	Bacillus  thuringiensis  serovar  finitimus  YBT-020  complete  genome	5355490	35.5394744458
CP002509.1	Bacillus  thuringiensis  serovar  finitimus  YBT-020  plasmid  pBMB26  complete  sequence	187880	33.1142218437
CP002510.1	Bacillus  thuringiensis  serovar  finitimus  YBT-020  plasmid  pBMB28  complete  sequence	139013	33.8838813636
AE009949.1	Streptococcus  pyogenes  MGAS8232  complete  genome	1895017	38.5466198984
CP004345.1	Morganella  morganii  subsp.  morganii  KT  complete  genome	3799539	51.1394408637
CP011263.1	Mycoplasma  mycoides  subsp.  mycoides  strain  Ben326  complete  genome	1109375	23.9583549296
