ID	Description	Length	GC
CP007156.1	Corynebacterium  falsenii  DSM  44353  strain  BL  8171  complete  genome	2677607	63.1771951597
AP012035.1	Acidiphilium  multivorum  AIU301  DNA  complete  genome	3749411	67.5791744357
CP015199.1	Chryseobacterium  sp.  IHB  B  10212  strain  IHBB  10212  complete  genome	4843645	34.0445470302
CP001047.1	Mycoplasma  arthritidis  158L3-1  complete  genome	820453	30.7094982894
CP000813.4	Bacillus  pumilus  SAFR-032  complete  genome	3704641	41.2876173427
CP003499.1	Streptococcus  thermophilus  MN-ZLW-002  complete  genome	1848520	39.0570294073
CP002175.1	Halanaerobium  praevalens  DSM  2228  complete  genome	2309262	30.2936176146
CP002508.1	Bacillus  thuringiensis  serovar  finitimus  YBT-020  complete  genome	5355490	35.5394744458
AE009949.1	Streptococcus  pyogenes  MGAS8232  complete  genome	1895017	38.5466198984
CP004345.1	Morganella  morganii  subsp.  morganii  KT  complete  genome	3799539	51.1394408637
CP011263.1	Mycoplasma  mycoides  subsp.  mycoides  strain  Ben326  complete  genome	1109375	23.9583549296
CP012969.1	Psychrobacter  sp.  AntiMn-1  complete  genome	3138120	43.8976839636
CP002056.1	Methylotenera  versatilis  301  complete  genome	3059871	42.6351306967
CP002630.1	Marinithermus  hydrothermalis  DSM  14884  complete  genome	2269167	68.0758181306
CP011748.1	Bordetella  pertussis  strain  I968  complete  genome	4107604	67.7056989914
CP014474.1	Serratia  rubidaea  strain  1122  complete  genome	4922834	59.2026259671
CP017839.1	Nocardia  seriolae  strain  EM150506  complete  genome	8304518	68.0802787109
AP014569.1	Comamonadaceae  bacterium  B1  DNA  complete  genome	2606868	66.0905730555
CP000922.1	Anoxybacillus  flavithermus  WK1  complete  genome	2846746	41.7767514207
CP019646.1	Phycisphaerae  bacterium  SM-Chi-D1  complete  genome	3868357	47.0421680315
CP002735.1	Delftia  sp.  Cs1-4  complete  genome	6685842	66.7179541485
CP014164.1	Aerococcus  viridans  strain  CCUG4311  complete  genome	2199877	39.3756560026
FN645454.1	Bartonella  clarridgeiae  strain  73  complete  genome	1522743	35.7269742826
CP020853.1	Klebsiella  pneumoniae  strain  KPN528  complete  genome	5383018	57.4782399019
CP001839.1	Thermotoga  naphthophila  RKU-10  complete  genome	1809823	46.1407552009
CP002049.1	Truepera  radiovictrix  DSM  17093  complete  genome	3260398	68.1390124764
HF558398.1	Listeria  monocytogenes  serotype  4b  str.  LL195  complete  genome	2904662	38.0376098837
CP003590.1	Pleurocapsa  sp.  PCC  7327  complete  genome	4986817	45.1933367517
CP002305.1	Leadbetterella  byssophila  DSM  17132  complete  genome	4059653	40.4136264848
CP011114.1	Paenibacillus  durus  ATCC  35681  complete  genome	5575484	50.995734182
CP014870.1	Pseudomonas  sp.  A3(2016)  complete  genome	6823539	59.5824835177
CP011043.1	Clavibacter  michiganensis  subsp.  insidiosus  strain  R1-1  complete  genome	3207520	72.9586721205
CP015638.1	Pseudomonas  fluorescens  strain  L111  complete  genome	6606606	60.7757901712
CP001661.1	Geobacter  sp.  M21  complete  genome	4745806	60.4699602133
CP019944.1	Escherichia  coli  strain  DSM  103246  complete  genome	5445834	50.5076173824
AM942759.1	Proteus  mirabilis  strain  HI4320  complete  genome	4063606	38.899686633
CP011117.1	Pseudomonas  fluorescens  strain  LBUM223  complete  genome	6694199	59.4282004464
CP011769.1	Lactobacillus  plantarum  strain  Zhang-LL  complete  genome	2952218	44.9337413429
HG934468.1	Mucinivorans  hirudinis  complete  genome	3149227	44.8991768456
CP018059.1	Moraxella  catarrhalis  strain  CCRI-195ME  complete  genome	1954607	41.6028899927
CP017014.1	Rhodococcus  sp.  WMMA185  complete  genome	4444448	64.0752687398
CP019408.1	Salmonella  enterica  subsp.  enterica  serovar  Crossness  str.  1422-74  complete  genome	4847468	52.2070078647
CP011685.1	Staphylococcus  aureus  strain  ZJ5499  complete  genome	2848095	32.8434971446
CP014492.1	Escherichia  coli  strain  MVAST0167  complete  genome	4806946	50.769261814
CP000083.1	Colwellia  psychrerythraea  34H  complete  genome	5373180	38.0054269539
CP011572.1	Enterobacter  cloacae  strain  CAV1311  complete  genome	4879702	55.3664137687
CP012805.1	Streptococcus  anginosus  strain  J4211  complete  genome	1924513	38.989811968
CP007628.2	Streptococcus  sp.  VT  162  complete  genome	2041142	41.0960628903
CP006838.1	Staphylococcus  aureus  subsp.  aureus  Z172  complete  genome	2987966	32.835882336
CP015002.1	Pseudomonas  aeruginosa  strain  PA8281  complete  genome	6928736	66.0091248967
CP019870.1	Clostridioides  difficile  strain  BR81  complete  genome	4124384	28.7077536912
CP002791.1	Corynebacterium  ulcerans  BR-AD22  complete  genome	2606374	53.3996655891
CP012729.1	Bacillus  anthracis  strain  Parent2  complete  genome	5227092	35.3784666503
AP011548.1	Lactobacillus  rhamnosus  ATCC  53103  DNA  complete  genome	3005051	46.6919197045
CP013952.1	Escherichia  coli  strain  HST04  complete  genome	4567242	50.7862075187
CP009450.1	Pluralibacter  gergoviae  strain  FB2  complete  genome	5489680	59.1055762813
CP010511.1	Campylobacter  jejuni  strain  CJ677CC061  complete  genome	1635130	30.3712854635
CP003715.1	Zymomonas  mobilis  subsp.  mobilis  str.  CP4  =  NRRL  B-14023  complete  genome	2012455	46.235269857
CP013680.1	Pseudomonas  aeruginosa  AES-1R  complete  genome	6343337	66.5121528306
CP009876.1	Klebsiella  pneumoniae  subsp.  pneumoniae  strain  KPNIH31  complete  genome	5228295	57.5106416145
CP013079.1	Bordetella  pertussis  strain  C757  complete  genome	4106366	67.7065804656
CP020712.1	Mycoplasma  pneumoniae  strain  S12-tet-R  complete  genome	816430	40.0102886959
CP013274.1	Bacillus  thuringiensis  strain  CTC  complete  genome	5327397	35.4022987211
CP012091.1	Salmonella  enterica  subsp.  enterica  serovar  Typhi  strain  PM016/13  complete  genome	4793553	52.0318436033
CP001084.2	Lactobacillus  casei  str.  Zhang  complete  genome	2861969	46.5108811451
CP020418.1	Neisseria  gonorrhoeae  strain  FDAARGOS_205  complete  genome	2232393	52.3735740078
CP006751.1	Yersinia  pestis  3770  complete  genome	4523206	47.6364109881
CP010817.1	Myroides  profundi  strain  D25  complete  genome	4064534	33.845798805
HG328254.1	Bacillus  amyloliquefaciens  subsp.  plantarum  UCMB5113  complete  genome	3889532	46.7091670669
CP018102.1	Enterococcus  faecalis  strain  L12  complete  genome	2668255	37.7974743793
CP002215.1	Streptococcus  dysgalactiae  subsp.  equisimilis  ATCC  12394  complete  genome	2159491	39.4978261081
CP000159.1	Salinibacter  ruber  DSM  13855  complete  genome	3551823	66.2167287052
CP019722.1	Lactobacillus  plantarum  strain  CLP0611  complete  genome	3197722	44.5917124753
CP018458.1	Klebsiella  pneumoniae  strain  Kp_Goe_39795  complete  genome	5330835	57.3433430222
CP012111.1	Acetobacter  pasteurianus  strain  Ab3  complete  genome	2806148	53.2811526691
CP016396.1	Mycobacterium  avium  strain  RCAD0278  complete  genome	4953610	69.2942318834
CP011923.1	Francisella  noatunensis  subsp.  orientalis  strain  FNO190  complete  genome	1859595	32.3063892944
CP000108.1	Chlorobium  chlorochromatii  CaD3  complete  genome	2572079	44.278188967
CP015637.1	Pseudomonas  fluorescens  strain  L321  complete  genome	6641144	60.7657054267
CP011726.1	Bordetella  pertussis  strain  I270  complete  genome	4103217	67.7094094707
CP011974.1	Bacillus  endophyticus  strain  Hbe603  complete  genome	4865574	36.6443506974
CP006615.1	Arcobacter  butzleri  7h1h  complete  genome	2253233	27.0598291433
CP001229.1	Sulfurihydrogenibium  azorense  Az-Fu1  complete  genome	1640877	32.7529120099
CP002927.1	Bacillus  amyloliquefaciens  XH7  complete  genome	3939203	45.8209947545
CP002084.1	Dehalogenimonas  lykanthroporepellens  BL-DC-9  complete  genome	1686510	55.0443815928
CP016448.1	Methyloversatilis  sp.  RAC08  complete  genome	3937190	65.0220080819
CP006714.1	Bifidobacterium  breve  NCFB  2258  complete  genome	2315904	58.7122350495
CP021417.1	Corynebacterium  ulcerans  strain  PO100/5  complete  genome	2572413	54.4000904987
CP001633.1	Francisella  tularensis  subsp.  tularensis  NE061598  complete  genome	1892681	32.2600057802
CP003022.1	Pasteurella  multocida  36950  complete  genome	2349518	40.4372726661
CP019015.1	Escherichia  coli  strain  Ecol_AZ162  complete  genome	5099988	50.7351782004
CP014270.1	Escherichia  coli  K-12  strain  DHB4  complete  genome	4546849	50.7454942973
CP013663.1	Escherichia  coli  strain  GB089  complete  genome	5233459	50.7539468638
CP001101.1	Chlorobium  phaeobacteroides  BS1  complete  genome	2736403	48.9270768962
CP020933.1	Escherichia  coli  strain  HB-Coli0  complete  genome	4858944	50.7186129332
CP012546.1	Campylobacter  pinnipediorum  subsp.  pinnipediorum  strain  RM17260  complete  genome	1782665	30.4177733898
CP017331.1	Mycoplasma  pneumoniae  strain  FL8  complete  genome	816491	40.0048500228
CP010437.1	Bifidobacterium  adolescentis  strain  BBMN23  complete  genome	2173720	59.2931012274
CP003085.1	Pantoea  ananatis  PA13  complete  genome	4586378	53.6565237318
CP012034.1	Lactobacillus  ginsenosidimutans  strain  EMML  3041  complete  genome	2590556	36.7071007151
CP000612.1	Desulfotomaculum  reducens  MI-1  complete  genome	3608104	42.2752503808
CP007604.1	Helicobacter  pylori  strain  BM013A  complete  genome	1604233	38.9639784246
CP003738.1	Pseudomonas  putida  HB3267  complete  genome	5875750	62.5983576565
CP020121.1	Comamonas  kerstersii  strain  8943  complete  genome	3547915	59.6315582532
CP007292.2	Salmonella  enterica  subsp.  enterica  serovar  Enteritidis  str.  SA19994216  complete  genome	4685847	52.1670681949
CP007220.1	Mycobacterium  chelonae  CCUG  47445  complete  genome	5029817	63.9201784081
CP002607.1	Aeromonas  veronii  B565  complete  genome	4551783	58.7190338379
CP002007.2	Streptococcus  suis  05HAS68  complete  genome	2176073	41.1648873912
AP012051.1	Caldisericum  exile  AZM16c01  DNA  complete  genome	1558103	35.3748757303
CP007241.1	Streptococcus  pyogenes  strain  1E1  complete  genome	1796152	38.4842151444
CP011360.1	Bradyrhizobium  diazoefficiens  USDA  110  complete  genome	9106064	64.0593894354
CP012731.1	Streptococcus  suis  strain  90-1330  complete  genome	2146151	41.0872301157
CP003323.1	Mycobacterium  intracellulare  MOTT-02  complete  genome	5409696	68.0964327755
CP010319.1	Streptococcus  agalactiae  strain  GBS85147  complete  genome	1996151	35.4872952998
CP003125.1	Geobacillus  thermoleovorans  CCB_US3_UF5  complete  genome	3596620	52.2752195117
CP003989.2	Thioalkalivibrio  nitratireducens  DSM  14787  complete  genome	4002350	66.4973827876
CP002302.1	Buchnera  aphidicola  str.  JF99  (Acyrthosiphon  pisum)  complete  genome	641716	26.2863946045
CP009013.1	Xanthomonas  citri  subsp.  citri  strain  jx4  complete  genome	5124790	64.8390470634
CP011707.1	Bordetella  pertussis  strain  H849  complete  genome	4103204	67.7093559082
CP003215.1	Corynebacterium  diphtheriae  HC04  complete  genome	2484332	53.4535239251
AE017354.1	Legionella  pneumophila  subsp.  pneumophila  str.  Philadelphia  1  complete  genome	3397754	38.269515686
CP000240.1	Synechococcus  sp.  JA-2-3B'a(2-13)  complete  genome	3046682	58.4503404031
CP012681.1	Salmonella  enterica  subsp.  enterica  serovar  Typhimurium  strain  33676  complete  genome	4809574	52.1551596877
CP001744.1	Planctomyces  limnophilus  DSM  3776  complete  genome	5423075	53.6616218658
CP016328.1	Gluconobacter  oxydans  strain  1.637  complete  genome	3606417	56.2476552212
CP020604.1	Lactococcus  lactis  subsp.  lactis  bv.  diacetylactis  strain  FM03  complete  genome	2428349	35.2882966987
CP021487.1	Pediococcus  acidilactici  strain  SRCM100313  complete  genome	2025575	42.2335386248
CP007563.1	Candidatus  Portiera  aleyrodidarum  MED  (Bemisia  tabaci)  strain  BT-Q  complete  genome	357461	26.1222902638
CP015576.1	Campylobacter  hyointestinalis  subsp.  lawsonii  strain  LMG  15993  complete  genome	1753277	33.5485493735
CP013993.1	Pseudomonas  aeruginosa  DHS01  complete  genome	7055752	65.7636776349
CP001872.1	Mycoplasma  gallisepticum  str.  R(high)  complete  genome	1012027	31.4674410861
CP014646.1	Thauera  humireducens  strain  SgZ-1  complete  genome	4171754	66.4205511639
CP017450.1	Klebsiella  sp.  LTGPAF-6F  complete  genome	6174401	55.8716707904
CP004085.1	Corynebacterium  urealyticum  DSM  7111  complete  genome	2316065	64.2358914797
CP016007.1	Escherichia  coli  strain  NGF1  complete  genome	5026105	50.6569600118
CP000127.1	Nitrosococcus  oceani  ATCC  19707  complete  genome	3481691	50.3176186514
CP018816.1	Klebsiella  pneumoniae  strain  AR_0049  complete  genome	5435743	57.2933635751
CP012021.1	Listeria  monocytogenes  strain  CFSAN023463  complete  genome	2939733	37.9833474673
FN298497.1	Lactobacillus  johnsonii  FI9785  complete  genome	1755993	34.4856727789
CP001733.2	Aggregatibacter  actinomycetemcomitans  D11S-1  complete  genome	2105791	44.5531394141
CP016406.1	Salmonella  enterica  subsp.  enterica  serovar  Infantis  strain  FSIS1502169  complete  genome	4727126	52.2718243601
CP006923.1	Klebsiella  pneumoniae  30660/NJST258_1  complete  genome	5263229	57.4157423133
CP010105.1	Candidatus  Sulcia  muelleri  strain  ML  complete  genome	190405	24.0718468528
CP002109.1	Clostridium  saccharolyticum  WM1  complete  genome	4662871	45.0047406415
CP009677.1	Mycoplasma  hominis  strain  AF1  complete  genome	700851	26.9119969865
CP010836.1	Sphingomonas  hengshuiensis  strain  WHSC-8  complete  genome	5191536	66.6979098286
CP017652.1	Acinetobacter  baumannii  strain  KAB06  complete  genome	3967831	39.061441881
CP018701.1	Klebsiella  pneumoniae  strain  Kp_Goe_827024  complete  genome	5374118	57.3591982908
CP011703.1	Bordetella  pertussis  strain  H779  complete  genome	4106294	67.7057219965
CP016952.1	Citrobacter  freundii  strain  SL151  complete  genome	5096586	51.6551471907
CP012154.1	Wenzhouxiangella  marina  strain  KCTC  42284  complete  genome	3675202	65.2557056728
CP003121.1	Streptococcus  pyogenes  MGAS1882  complete  genome	1781029	38.4761842732
CP003122.1	Streptococcus  parasanguinis  FW213  complete  genome	2171609	41.6152723626
CP020835.1	Escherichia  coli  strain  CFSAN051542  complete  genome	4888773	50.9947997176
CP001111.1	Stenotrophomonas  maltophilia  R551-3  complete  genome	4573969	66.2999027759
CP009997.1	Yersinia  kristensenii  strain  Y231  complete  genome	4496569	47.4015632808
CP010479.1	Campylobacter  jejuni  strain  CJ677CC036  complete  genome	1665175	30.3067245184
AP014800.1	Rhodovulum  sulfidophilum  DNA  complete  genome  strain:  DSM  2351	4454432	66.828161256
CP019213.1	Escherichia  coli  strain  WCHEC1613  complete  genome	4671098	50.9144316818
CP012992.1	Klebsiella  pneumoniae  strain  KpN06  complete  genome	5309013	57.4147963096
CP005095.1	Azotobacter  vinelandii  CA6  complete  genome	5323210	65.6451840149
CP000255.1	Staphylococcus  aureus  subsp.  aureus  USA300_FPR3757  complete  genome	2872769	32.7509799779
AE017143.1	Haemophilus  ducreyi  strain  35000HP  complete  genome	1698955	38.2204943627
CP001798.1	Nitrosococcus  halophilus  Nc4  complete  genome	4079427	51.5840092248
CP014773.1	Mucilaginibacter  sp.  PAMC  26640  complete  genome	5611374	43.3245761199
CP006471.1	Synechococcus  sp.  UTEX  2973  complete  genome	2690418	55.4677748959
CP006758.1	Yersinia  pestis  1522  complete  genome	4530125	47.6288181893
CP000908.1	Methylobacterium  extorquens  PA1  complete  genome	5471154	68.1838602971
CP010846.1	Bordetella  pertussis  strain  H563  complete  genome	4106394	67.7066058444
CP013897.1	Bordetella  pertussis  strain  J159  complete  genome	4107438	67.7057572141
CP001037.1	Nostoc  punctiforme  PCC  73102  complete  genome	8234322	41.4149580257
CP019622.1	Listeria  monocytogenes  strain  10-092876-0145  LM9  complete  genome	3070031	38.0344042129
CP017878.1	Campylobacter  coli  strain  BG2108  complete  genome	1695638	31.4118343656
CP008903.1	Geobacillus  sp.  LC300  complete  genome	3494216	52.1592540358
CP003491.1	Mycobacterium  sp.  MOTT36Y  complete  genome	5613626	67.9129318555
AP017913.1	Candidatus  Azobacteroides  pseudotrichonymphae  DNA  chromosome:  I  complete  genome  phylotype  ProJPt-1	774998	27.4617482884
AP017914.1	Candidatus  Azobacteroides  pseudotrichonymphae  DNA  chromosome:  II  complete  genome  phylotype  ProJPt-1	139924	28.1317000657
CP001814.1	Streptosporangium  roseum  DSM  43021  complete  genome	10341314	70.8666036057
CP015760.1	Bordetella  pertussis  strain  VA-175  complete  genome	4110002	67.6878746044
CP011134.1	Escherichia  coli  VR50  complete  genome	5000386	50.8184368167
CP013953.1	Staphylococcus  aureus  strain  NCCP14558  complete  genome	2955147	32.9597816961
CP007727.1	Klebsiella  pneumoniae  subsp.  pneumoniae  KPNIH10  complete  genome	5395263	57.4226872721
CP018793.1	Campylobacter  sp.  RM12175  complete  genome	1583173	32.4663823852
CP009364.1	Yersinia  frederiksenii  Y225  complete  genome	4495532	47.4007080808
